NAME,Income
ZCTA5 77422,56064
ZCTA5 77430,80889
ZCTA5 77444,-
ZCTA5 77480,60423
ZCTA5 77486,79231
ZCTA5 77510,78828
ZCTA5 77511,64932
ZCTA5 77515,64778
ZCTA5 77531,62892
ZCTA5 77534,95890
ZCTA5 77541,46039
ZCTA5 77545,80873
ZCTA5 77546,106287
ZCTA5 77566,83782
ZCTA5 77577,73889
ZCTA5 77578,92487
ZCTA5 77581,92687
ZCTA5 77583,78808
ZCTA5 77584,107995
ZCTA5 77514,45714
ZCTA5 77520,50461
ZCTA5 77521,72665
ZCTA5 77523,113000
ZCTA5 77535,54638
ZCTA5 77560,97554
ZCTA5 77575,56172
ZCTA5 77580,139414
ZCTA5 77597,-
ZCTA5 77661,-
ZCTA5 77665,51989
ZCTA5 77053,50368
ZCTA5 77083,54425
ZCTA5 77085,57167
ZCTA5 77099,40802
ZCTA5 77406,124705
ZCTA5 77407,101612
ZCTA5 77417,44474
ZCTA5 77420,55385
ZCTA5 77423,61178
ZCTA5 77430,80889
ZCTA5 77435,60250
ZCTA5 77441,165603
ZCTA5 77444,-
ZCTA5 77450,96526
ZCTA5 77451,28333
ZCTA5 77459,112368
ZCTA5 77461,73952
ZCTA5 77464,59844
ZCTA5 77469,81374
ZCTA5 77471,52764
ZCTA5 77476,-
ZCTA5 77477,59910
ZCTA5 77478,92327
ZCTA5 77479,140394
ZCTA5 77481,-
ZCTA5 77485,52328
ZCTA5 77489,68646
ZCTA5 77493,90861
ZCTA5 77494,135943
ZCTA5 77498,80748
ZCTA5 77545,80873
ZCTA5 77583,78808
ZCTA5 77584,107995
ZCTA5 77002,71369
ZCTA5 77003,72295
ZCTA5 77004,51309
ZCTA5 77005,192380
ZCTA5 77006,85956
ZCTA5 77007,125653
ZCTA5 77008,108644
ZCTA5 77009,56316
ZCTA5 77010,"250,000+"
ZCTA5 77011,31314
ZCTA5 77012,39489
ZCTA5 77013,38665
ZCTA5 77014,50938
ZCTA5 77015,47371
ZCTA5 77016,36335
ZCTA5 77017,49994
ZCTA5 77018,90422
ZCTA5 77019,116207
ZCTA5 77020,32207
ZCTA5 77021,37913
ZCTA5 77022,31183
ZCTA5 77023,41583
ZCTA5 77024,123274
ZCTA5 77025,76772
ZCTA5 77026,28678
ZCTA5 77027,98463
ZCTA5 77028,29014
ZCTA5 77029,38183
ZCTA5 77030,90075
ZCTA5 77031,48029
ZCTA5 77032,32473
ZCTA5 77033,38162
ZCTA5 77034,51608
ZCTA5 77035,44382
ZCTA5 77036,30952
ZCTA5 77037,43180
ZCTA5 77038,41052
ZCTA5 77039,36769
ZCTA5 77040,59453
ZCTA5 77041,87489
ZCTA5 77042,49726
ZCTA5 77043,64810
ZCTA5 77044,80503
ZCTA5 77045,57843
ZCTA5 77046,87891
ZCTA5 77047,67725
ZCTA5 77048,41300
ZCTA5 77049,62994
ZCTA5 77050,48500
ZCTA5 77051,30646
ZCTA5 77053,50368
ZCTA5 77054,50827
ZCTA5 77055,55591
ZCTA5 77056,108359
ZCTA5 77057,62644
ZCTA5 77058,55035
ZCTA5 77059,139163
ZCTA5 77060,31006
ZCTA5 77061,41980
ZCTA5 77062,95564
ZCTA5 77063,46324
ZCTA5 77064,71754
ZCTA5 77065,57370
ZCTA5 77066,61930
ZCTA5 77067,43282
ZCTA5 77068,83803
ZCTA5 77069,67470
ZCTA5 77070,66569
ZCTA5 77071,48532
ZCTA5 77072,41228
ZCTA5 77073,50931
ZCTA5 77074,42776
ZCTA5 77075,54819
ZCTA5 77076,38346
ZCTA5 77077,65193
ZCTA5 77078,40298
